"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
37,"NCT02867865","Perioperative Therapy Preoperative Chemotherapy Versus Chemoradiotherapy in Locally Advanced Gall Bladder Cancers","POLCAGB","Recruiting","No Results Available","Gall Bladder Cancers","Drug: Gemcitabine|Drug: Cisplatin|Radiation: Chemoradiation|Procedure: PETCECT|Procedure: Laparoscopy","Overall Survival|Surgical resection rate|Progression free survival|Number of participants with treatment related serious adverse events|Deterioration free rate of quality of life (QOL) scores at baseline and three monthly","Tata Memorial Hospital","All","19 Years to 80 Years   (Adult, Older Adult)","Phase 2|Phase 3","314","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1652","October 2016","August 2021","August 2022","August 16, 2016",,"November 14, 2018","Tata Memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02867865"
38,"NCT02139605","""Phase III Randomized Trial Comparing D2 vs D3 Lymphadenectomy With Gastric Cancer Following Neoadjuvant Chemotherapy",,"Recruiting","No Results Available","Gastric Cancer","Procedure: D3 Lymphadenectomy","primary endpoint:Overall Survival|Disease-free survival","Tata Memorial Centre","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","87","July 5, 2013","July 2025","July 2026","May 15, 2014",,"April 27, 2022","Dr Shailesh Vinayak Shrikhande, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02139605"
39,"NCT03797482","A Prospective Evaluation of the Peri-operative Hypoxia in Breast Cancer","Hypoxia","Recruiting","No Results Available","Breast Cancer Female","Procedure: Intra-operative Tumor Tissue Biopsy","Gene expression changes|Immunohistochemistry for other markers","Tata Memorial Hospital","Female","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Other|Time Perspective: Prospective","Protocol 254","November 27, 2017","July 30, 2022","November 30, 2022","January 9, 2019",,"April 27, 2022","Tata Memorial Center, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT03797482"
40,"NCT00193752","Para-Aortic Lymph Nodal Staging & Evaluation of Treatment Outcome by 18F FDG-PET in Advanced Cancer Cervix",,"Completed","No Results Available","Cancer of Cervix","Other: PET IMAGING","PET Scan for Para-Aortic Staging in Carcinoma Cervix|Clinical (FIGO), MRI, and PET - Abdomen and Pelvis Correlation|Volumetric Correlation of Local Disease by PET and MRI|Radiotherapy Response Evaluation and Post therapy Surveillance by serial PET Scans|overall survival","Tata Memorial Hospital","Female","18 Years to 65 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","TMH/205/2004/Cx_PET STUDY","September 2005","January 2015","January 2018","September 19, 2005",,"January 23, 2018","Tata Memorial Hospital, Mumbai, Maharastra, India",,"https://ClinicalTrials.gov/show/NCT00193752"
41,"NCT03669497","Hypo-Fractionated Radiotherapy in Breast Cancer","HYPORT-B","Recruiting","No Results Available","Breast Cancer|Advanced Breast Cancer|Metastatic Breast Cancer","Radiation: Hypo fractionated whole breast radiotherapy","Toxicity (CTCAE v 4.03)|Response","Tata Medical Center","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EC/TMC/108/17","January 2, 2018","December 2, 2020","January 3, 2023","September 13, 2018",,"December 3, 2021","Sanjoy Chatterjee, Kolkata, West Bengal, India",,"https://ClinicalTrials.gov/show/NCT03669497"
42,"NCT02161900","Randomized Controlled Trial Evaluating the Role of Exercise in Women Undergoing Treatment for Breast Cancer",,"Active, not recruiting","No Results Available","Non Metastatic Operable Breast Cancer","Other: Yogic and routine exercises","Disease-free survival|Quality of life, Improvements in overall survival","Tata Memorial Hospital","Female","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","850","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMH Project No. 735","November 12, 2010","March 31, 2023","April 30, 2025","June 12, 2014",,"May 2, 2022","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02161900"
43,"NCT03546023","Brief Pain Inventory to Assess Cancer Pain and Quality of Life",,"Completed","No Results Available","Chronic Cancer Pain","Other: Patient Interview","Functional activity measurement using the Brief Pain Inventory (BPI)","Tata Memorial Hospital","All","18 Years and older   (Adult, Older Adult)",,"900","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","1921","June 5, 2018","June 4, 2019","June 4, 2019","June 6, 2018",,"September 11, 2019","Tata Memorial Centre, Mumbai, Maharashtra, India|Tata Memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT03546023"
44,"NCT03638622","Low-cost Enabling Technology for Image-guided Photodynamic Therapy (PDT) of Oral Cancer Cancer.","UH3-India","Completed","Has Results","Oral Cancer","Combination Product: Photodynamic Therapy","Number of Participants With no Residual Tumor Following Photodynamic Therapy (PDT)","Massachusetts General Hospital|Jawaharlal Nehru Medical College|National Cancer Institute (NCI)","All","21 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015P001855|5UH3CA189901-04","March 10, 2017","October 12, 2020","October 12, 2020","August 20, 2018","February 21, 2021","February 21, 2021","J.N. Medical College, Aligarh Muslim University, Aligarh, UP, India","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/22/NCT03638622/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03638622"
45,"NCT01608451","Randomized Controlled Trial of Neo-adjuvant Progesterone and Vitamin D3 in Women With Large Operable Breast Cancer and Locally Advanced Breast Cancer",,"Terminated","No Results Available","Locally Advanced Breast Cancer and Large Operable Breast Cancer","Drug: Cholecalciferol|Drug: Inj. Progesterone","Disease-free survival|Improvements in overall survival, Tumor response","Tata Memorial Hospital","Female","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","800","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Vitamin D3/377/TMH|TMH project No. 377","September 2007","August 20, 2021","August 20, 2021","May 31, 2012",,"May 2, 2022","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT01608451"
46,"NCT01118897","Tomotherapy in Locally Advanced Gallbladder and Pancreatic Cancers",,"Completed","No Results Available","Pancreatic Neoplasms Malignant|Malignant Neoplasm of Gall Bladder Non-resectable","Radiation: Tomotherapy","To assess the feasibility of concurrent chemo-radiation with dose escalated IMRT in locally advanced inoperable gallbladder and pancreatic cancers|Response to CTRT|R0 resection rate|Locoregional control|Overall survival","Tata Memorial Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB 599","December 2008","January 2013","June 2013","May 7, 2010",,"August 7, 2015","Tata Memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT01118897"
47,"NCT00750503","Workplace Tobacco Cessation And Oral Cancer Screening Study",,"Completed","No Results Available","Tobacco Cessation|Oral Cancer","Behavioral: Behavioural and Pharmacotherapy for tobacco cessation","The prevalence of tobacco use and the the change in Knowledge, Attitude and Practices during post intervention. The reasons for initiation and continuation of tobacco consumption habit. The tobacco quit rates.|The prevalence of oral precancerous and cancerous lesions among this group and its correlation with the different forms and frequency of tobacco use.","Tata Memorial Hospital|Department of Atomic Energy","Male","18 Years to 60 Years   (Adult)","Phase 3","104","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","458","June 2007","June 2008","August 2008","September 10, 2008",,"September 10, 2008","Chemical Industry, Tal. Khed, District : Ratnagiri, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00750503"
48,"NCT01429766","A Prospective Study of Variation in Breath Holding Times at Various Phases of Respiration During the Course of Radiotherapy Including the Effect of Respiratory Training in Lung Cancer Patients",,"Unknown status","No Results Available","Small Cell Lung Cancer|Non Small Cell Lung Cancer","Other: Respiratory Training","Breath holding time in various phases of the respiratory cycle","Tata Memorial Hospital","All","Child, Adult, Older Adult","Phase 2","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","747","June 2010","May 2012","May 2012","September 7, 2011",,"September 7, 2011","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT01429766"
49,"NCT04842994","Trial on Intraoperative Neuromonitoring (IONM) in Thyroid Cancer Surgery.","ACTION","Recruiting","No Results Available","Malignant Neoplasm of Thyroid Gland","Device: IONM tube","Primary objective assessment (Temporary RLN palsy)- FOL evaluation|Acoustic analysis|Aerodynamic voice measurement|Voice quality assessment","Tata Memorial Hospital","All","Child, Adult, Older Adult","Not Applicable","448","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","3223","August 16, 2019","August 2024","August 2024","April 13, 2021",,"May 5, 2022","Tata Memorial Hospital, Parel, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT04842994"
50,"NCT02116920","HPV E6/E7 mRNA Versus HPV DNA as Triage for Cervical Cancer Screening","PODBT","Unknown status","No Results Available","CIN|Cervix Cancer",,"Efficacy Outcome Measure","Tata Memorial Hospital|Ministry of Science and Technology, India","Female","30 Years to 65 Years   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","BT/PR6121/SPD/11/1401/2012","May 2013","May 2016","May 2016","April 17, 2014",,"April 17, 2014","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02116920"
51,"NCT04085120","Ropivacaine/Dexamethasone and 10% Lignocaine Injection in GPN Block for Intractable Cancer Pain",,"Unknown status","No Results Available","Cancer, Oropharynx|Pain, Intractable|Cancer Pain","Procedure: 0.75 % Ropivacaine/ 4mg/mL dexamethasone injection|Procedure: 10% lignocaine injection","Pain reduction on the basis of the Numeric rating scale (NRS).|Brief Pain Inventory (BPI)- short form|WHO Quality of Life-BREF|Patient Global Impression of Change (PGIC)|Clinical Global Impression of Change (CGIC)|Analgesic requirement and rescue analgesic requirement","All India Institute of Medical Sciences, New Delhi","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care","IEC-402/07.06.2019, RP-34/2019","August 23, 2019","January 31, 2020","February 28, 2020","September 11, 2019",,"September 11, 2019","All India Institute of Medical Sciences, New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04085120"
52,"NCT04985253","Correlation of Predictive Accuracy of PREDICT Version 2.2 of Indian Women With Operable Breast Cancer","PREDICT","Active, not recruiting","No Results Available","Operable Breast Neoplasms","Other: prediction of overall survival using Web based PREDICTV2.0 portal","Five year overall survival|To compare the observed 5 year overall survival of operable breast cancer patients with the one predicted by PREDICT V2.0V 2.2 for subgroups like age at diagnosis, stage of disease, tumour grade and molecular class (ER/PR positive or TNBC)","Tata Memorial Centre","Female","18 Years to 99 Years   (Adult, Older Adult)",,"2780","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","3055","November 15, 2018","October 18, 2021","July 31, 2022","August 2, 2021",,"May 4, 2022","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT04985253"
53,"NCT01785420","Pre Operative Trastuzumab in Operable Breast Cancer",,"Recruiting","No Results Available","Carcinoma Breast Stage I|HER2 Positive Breast Cancer","Drug: Trastuzumab|Drug: Placebo","Disease Free Survival|Overall survival|Circulating Tumour Cells in Peripheral Blood|4.1.3. Evaluation of the paraffin blocks for pTEN loss6-8 and p95ErbB2 truncated form of HER2","Dr Rajendra A. Badwe|Tata Memorial Hospital","Female","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","1100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","TMH Project-982","May 2013","April 2025","February 2027","February 7, 2013",,"April 27, 2022","Tata Memorial Centre, Mumbai, India",,"https://ClinicalTrials.gov/show/NCT01785420"
