,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,Cancer Type
39,40,NCT00193752,para-aortic lymph nodal staging & evaluation of treatment outcome by 18f fdg-pet in advanced cancer cervix,,Completed,No Results Available,cancer of cervix,other: pet imaging,"pet scan for para-aortic staging in carcinoma cervix|clinical (figo), mri, and pet - abdomen and pelvis correlation|volumetric correlation of local disease by pet and mri|radiotherapy response evaluation and post therapy surveillance by serial pet scans|overall survival",tata memorial hospital,Female,"18 Years to 65 Years   (Adult, Older Adult)",,100.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,TMH/205/2004/Cx_PET STUDY,September 2005,January 2015,January 2018,"September 19, 2005",,"January 23, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00193752,cervix
40,41,NCT03669497,hypo-fractionated radiotherapy in breast cancer,HYPORT-B,Recruiting,No Results Available,breast cancer|advanced breast cancer|metastatic breast cancer,radiation: hypo fractionated whole breast radiotherapy,toxicity (ctcae v 4.03)|response,tata medical center,Female,"18 Years and older   (Adult, Older Adult)",Not Applicable,30.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EC/TMC/108/17,"January 2, 2018","December 2, 2020","January 3, 2023","September 13, 2018",,"December 3, 2021","['sanjoy chatterjee, kolkata, west bengal, india']",,https://ClinicalTrials.gov/show/NCT03669497,breast
41,42,NCT02161900,randomized controlled trial evaluating the role of exercise in women undergoing treatment for breast cancer,,"Active, not recruiting",No Results Available,non metastatic operable breast cancer,other: yogic and routine exercises,"disease-free survival|quality of life, improvements in overall survival",tata memorial hospital,Female,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,850.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TMH Project No. 735,"November 12, 2010","March 31, 2023","April 30, 2025","June 12, 2014",,"May 2, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02161900,breast
42,43,NCT03546023,brief pain inventory to assess cancer pain and quality of life,,Completed,No Results Available,chronic cancer pain,other: patient interview,functional activity measurement using the brief pain inventory (bpi),tata memorial hospital,All,"18 Years and older   (Adult, Older Adult)",,900.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,1921,"June 5, 2018","June 4, 2019","June 4, 2019","June 6, 2018",,"September 11, 2019","['tata memorial centre, mumbai, maharashtra, india tata memorial centre, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03546023,pain
43,44,NCT03638622,low-cost enabling technology for image-guided photodynamic therapy (pdt) of oral cancer cancer.,UH3-India,Completed,Has Results,oral cancer,combination product: photodynamic therapy,number of participants with no residual tumor following photodynamic therapy (pdt),massachusetts general hospital|jawaharlal nehru medical college|national cancer institute (nci),All,"21 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,30.0,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015P001855|5UH3CA189901-04,"March 10, 2017","October 12, 2020","October 12, 2020","August 20, 2018","February 21, 2021","February 21, 2021","['j.n. medical college, aligarh muslim university, aligarh, up, india']","""study protocol and statistical analysis plan"", https://clinicaltrials.gov/provideddocs/22/nct03638622/prot_sap_001.pdf",https://ClinicalTrials.gov/show/NCT03638622,
44,45,NCT01608451,randomized controlled trial of neo-adjuvant progesterone and vitamin d3 in women with large operable breast cancer and locally advanced breast cancer,,Terminated,No Results Available,locally advanced breast cancer and large operable breast cancer,drug: cholecalciferol|drug: inj. progesterone,"disease-free survival|improvements in overall survival, tumor response",tata memorial hospital,Female,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,800.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Vitamin D3/377/TMH|TMH project No. 377,September 2007,"August 20, 2021","August 20, 2021","May 31, 2012",,"May 2, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT01608451,breast
45,46,NCT01118897,tomotherapy in locally advanced gallbladder and pancreatic cancers,,Completed,No Results Available,pancreatic neoplasms malignant|malignant neoplasm of gall bladder non-resectable,radiation: tomotherapy,to assess the feasibility of concurrent chemo-radiation with dose escalated imrt in locally advanced inoperable gallbladder and pancreatic cancers|response to ctrt|r0 resection rate|locoregional control|overall survival,tata memorial hospital,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,60.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB 599,December 2008,January 2013,June 2013,"May 7, 2010",,"August 7, 2015","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT01118897,skin bladder pancreat
46,47,NCT00750503,workplace tobacco cessation and oral cancer screening study,,Completed,No Results Available,tobacco cessation|oral cancer,behavioral: behavioural and pharmacotherapy for tobacco cessation,"the prevalence of tobacco use and the the change in knowledge, attitude and practices during post intervention. the reasons for initiation and continuation of tobacco consumption habit. the tobacco quit rates.|the prevalence of oral precancerous and cancerous lesions among this group and its correlation with the different forms and frequency of tobacco use.",tata memorial hospital|department of atomic energy,Male,18 Years to 60 Years   (Adult),Phase 3,104.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,458,June 2007,June 2008,August 2008,"September 10, 2008",,"September 10, 2008","['chemical industry, tal. khed, district : ratnagiri, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00750503,
47,48,NCT01429766,a prospective study of variation in breath holding times at various phases of respiration during the course of radiotherapy including the effect of respiratory training in lung cancer patients,,Unknown status,No Results Available,small cell lung cancer|non small cell lung cancer,other: respiratory training,breath holding time in various phases of the respiratory cycle,tata memorial hospital,All,"Child, Adult, Older Adult",Phase 2,100.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,747,June 2010,May 2012,May 2012,"September 7, 2011",,"September 7, 2011","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT01429766,
48,49,NCT04842994,trial on intraoperative neuromonitoring (ionm) in thyroid cancer surgery.,ACTION,Recruiting,No Results Available,malignant neoplasm of thyroid gland,device: ionm tube,primary objective assessment (temporary rln palsy)- fol evaluation|acoustic analysis|aerodynamic voice measurement|voice quality assessment,tata memorial hospital,All,"Child, Adult, Older Adult",Not Applicable,448.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,3223,"August 16, 2019",August 2024,August 2024,"April 13, 2021",,"May 5, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT04842994,thyroid skin
49,50,NCT02116920,hpv e6/e7 mrna versus hpv dna as triage for cervical cancer screening,PODBT,Unknown status,No Results Available,cin|cervix cancer,,efficacy outcome measure,"tata memorial hospital|ministry of science and technology, india",Female,"30 Years to 65 Years   (Adult, Older Adult)",,1000.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,BT/PR6121/SPD/11/1401/2012,May 2013,May 2016,May 2016,"April 17, 2014",,"April 17, 2014","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02116920,cervix
50,51,NCT04085120,ropivacaine/dexamethasone and 10% lignocaine injection in gpn block for intractable cancer pain,,Unknown status,No Results Available,"cancer, oropharynx|pain, intractable|cancer pain",procedure: 0.75 % ropivacaine/ 4mg/ml dexamethasone injection|procedure: 10% lignocaine injection,pain reduction on the basis of the numeric rating scale (nrs).|brief pain inventory (bpi)- short form|who quality of life-bref|patient global impression of change (pgic)|clinical global impression of change (cgic)|analgesic requirement and rescue analgesic requirement,"all india institute of medical sciences, new delhi",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,60.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care","IEC-402/07.06.2019, RP-34/2019","August 23, 2019","January 31, 2020","February 28, 2020","September 11, 2019",,"September 11, 2019","['all india institute of medical sciences, new delhi, delhi, india']",,https://ClinicalTrials.gov/show/NCT04085120,pain
51,52,NCT04985253,correlation of predictive accuracy of predict version 2.2 of indian women with operable breast cancer,PREDICT,"Active, not recruiting",No Results Available,operable breast neoplasms,other: prediction of overall survival using web based predictv2.0 portal,"five year overall survival|to compare the observed 5 year overall survival of operable breast cancer patients with the one predicted by predict v2.0v 2.2 for subgroups like age at diagnosis, stage of disease, tumour grade and molecular class (er/pr positive or tnbc)",tata memorial centre,Female,"18 Years to 99 Years   (Adult, Older Adult)",,2780.0,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,3055,"November 15, 2018","October 18, 2021","July 31, 2022","August 2, 2021",,"May 4, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT04985253,breast
52,53,NCT01785420,pre operative trastuzumab in operable breast cancer,,Recruiting,No Results Available,carcinoma breast stage i|her2 positive breast cancer,drug: trastuzumab|drug: placebo,disease free survival|overall survival|circulating tumour cells in peripheral blood|4.1.3. evaluation of the paraffin blocks for pten loss6-8 and p95erbb2 truncated form of her2,dr rajendra a. badwe|tata memorial hospital,Female,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,1100.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",TMH Project-982,May 2013,April 2025,February 2027,"February 7, 2013",,"April 27, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT01785420,breast
53,54,NCT01304199,cancer survivorship issues: a survey of patients in india.aiims study (cansurvive),CANSURVIVE,Unknown status,No Results Available,cancer,,"to study the cancer survivorship experience(as binary responses)|to assess the mental status of cancer survivors|to identify the differences if any, in the cancer survivorship issues by age(less than 50 or greater than 50 years)|to define follow up care for cancer survivors in india.","all india institute of medical sciences, new delhi",All,"18 Years to 75 Years   (Adult, Older Adult)",,200.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,IEC/NP-252/2010,January 2011,July 2013,December 2013,"February 25, 2011",,"July 12, 2012","['all india institute of medical sciences, new delhi, delhi, india']",,https://ClinicalTrials.gov/show/NCT01304199,
